Number,Name,Platform,Year,Genre,Publisher,Global_Sales
1,Wii Sports,Wii,2006,Sports,Nintendo,82.53
2,Super Mario Bros.,NES,1985,Platform,Nintendo,40.24
3,Mario Kart Wii,Wii,2008,Racing,Nintendo,35.52
4,Wii Sports Resort,Wii,2009,Sports,Nintendo,32.77
5,Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,Nintendo,31.37
6,Tetris,GB,1989,Puzzle,Nintendo,30.26
7,New Super Mario Bros.,DS,2006,Platform,Nintendo,29.8
8,Wii Play,Wii,2006,Misc,Nintendo,28.92
9,New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,28.32
10,Duck Hunt,NES,1984,Shooter,Nintendo,28.31
11,Nintendogs,DS,2005,Simulation,,24.67
12,Mario Kart DS,DS,2005,Racing,Nintendo,23.21
13,Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,Nintendo,23.1
14,Wii Fit,Wii,2007,Sports,Nintendo,22.7
15,Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,21.81
16,Wii Fit Plus,Wii,2009,Sports,Nintendo,21.79
17,Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,21.04
18,Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,20.81
19,Super Mario World,SNES,1990,Platform,Nintendo,20.61
20,Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,20.15
21,Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,Nintendo,18.25
22,Super Mario Land,GB,1989,Platform,Nintendo,18.14
23,Super Mario Bros. 3,NES,1988,Platform,Nintendo,17.28
24,Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,16.27
25,Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,16.15
26,Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,Nintendo,15.85
27,Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,15.29
28,Pokemon Black/Pokemon White,DS,2010,Role-Playing,Nintendo,15.14
29,Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,14.98
30,Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,14.73
31,Pokémon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,Nintendo,14.64
32,Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision,14.63
33,Call of Duty: Black Ops,X360,2010,Shooter,Activision,14.61
34,Pokemon X/Pokemon Y,3DS,2013,Role-Playing,Nintendo,14.6
35,Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,13.79
36,Call of Duty: Black Ops II,X360,2012,Shooter,Activision,13.67
37,Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,13.47
38,Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision,13.32
39,Grand Theft Auto III,PS2,2001,Action,Take-Two Interactive,13.1
40,Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,12.84
41,Mario Kart 7,3DS,2011,Racing,Nintendo,12.66
42,Call of Duty: Black Ops,PS3,2010,Shooter,Activision,12.63
43,Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,12.61
44,Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,12.13
45,Halo 3,X360,2007,Shooter,Microsoft Game Studios,12.12
46,Super Mario 64,N64,1996,Platform,Nintendo,11.89
47,Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Action,Nintendo,11.77
48,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,Nintendo,11.68
49,Gran Turismo 4,PS2,2004,Racing,Sony Computer Entertainment,11.66
50,Super Mario Galaxy,Wii,2007,Platform,Nintendo,11.35
51,Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,Nintendo,11.18
52,Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,11.01
53,Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,10.95
54,Super Mario 3D Land,3DS,2011,Platform,Nintendo,10.81
55,Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,10.7
56,Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,10.6
57,Super Mario All-Stars,SNES,1993,Platform,Nintendo,10.55
58,Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,10.5
59,Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,Nintendo,10.49
60,Super Mario 64,DS,2004,Platform,Nintendo,10.3
61,Call of Duty: Ghosts,X360,2013,Shooter,Activision,10.25
62,Just Dance 3,Wii,2011,Misc,Ubisoft,10.12
63,New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,9.9
64,Mario Kart 64,N64,1996,Racing,Nintendo,9.87
65,Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,9.86
66,Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,9.72
67,Halo 4,X360,2012,Shooter,Microsoft Game Studios,9.71
68,Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,9.49
69,Just Dance 2,Wii,2010,Misc,Ubisoft,9.44
70,Call of Duty: Ghosts,PS3,2013,Shooter,Activision,9.36
71,Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,9.31
72,Donkey Kong Country,SNES,1994,Platform,Nintendo,9.3
73,Minecraft,X360,2013,Misc,Microsoft Game Studios,9.18
74,Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,9.16
75,Mario Party DS,DS,2007,Misc,Nintendo,8.91
76,The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,8.79
77,Super Mario Kart,SNES,1992,Racing,Nintendo,8.76
78,FIFA 16,PS4,2015,Sports,Electronic Arts,8.57
79,Halo 2,XB,2004,Shooter,Microsoft Game Studios,8.49
80,Wii Party,Wii,2010,Misc,Nintendo,8.38
81,Mario Party 8,Wii,2007,Misc,Nintendo,8.27
82,FIFA Soccer 13,PS3,2012,Action,Electronic Arts,8.16
83,GoldenEye 007,N64,1997,Shooter,Nintendo,8.09
84,Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,Nintendo,8.07
85,Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,8.05
86,The Sims 3,PC,2009,Simulation,Electronic Arts,8.01
87,Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega,7.99
88,Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts,7.98
89,Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft,7.86
90,Pac-Man,2600,1982,Puzzle,Atari,7.81
91,Pokémon Platinum Version,DS,2008,Role-Playing,Nintendo,7.72
92,Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,7.69
93,Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,7.66
94,The Legend of Zelda: Ocarina of Time,N64,1998,Action,Nintendo,7.6
95,FIFA 17,PS4,2016,Sports,Electronic Arts,7.59
96,Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,Sony Computer Entertainment,7.58
97,Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,Nintendo,7.55
98,Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,7.51
99,Super Mario Bros. 2,NES,1988,Platform,Nintendo,7.46
100,Call of Duty: Black Ops 3,XOne,2015,Shooter,Activision,7.39
101,Call of Duty: World at War,X360,2008,Shooter,Activision,7.38
102,Battlefield 3,X360,2011,Shooter,Electronic Arts,7.32
103,Need for Speed Underground,PS2,2003,Racing,Electronic Arts,7.2
104,Just Dance,Wii,2009,Misc,Ubisoft,7.2
105,Battlefield 3,PS3,2011,Shooter,Electronic Arts,7.17
106,Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,7.16
107,Tekken 3,PS,1998,Fighting,Sony Computer Entertainment,7.16
108,The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,7.15
109,Pokemon Sun/Moon,3DS,2016,Role-Playing,Nintendo,7.14
110,Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Computer Entertainment,7.13
111,Mario Kart 8,WiiU,2014,Racing,Nintendo,7.09
112,Super Smash Bros. Melee,GC,2001,Fighting,Nintendo,7.07
113,Mario Kart: Double Dash!!,GC,2003,Racing,Nintendo,6.95
114,Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts,6.9
115,Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts,6.83
116,Crash Bandicoot,PS,1996,Platform,Sony Computer Entertainment,6.82
117,Just Dance 4,Wii,2012,Misc,Ubisoft,6.76
118,Gears of War 2,X360,2008,Shooter,Microsoft Game Studios,6.75
119,Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,6.74
120,Zumba Fitness,Wii,2010,Sports,505 Games,6.71
121,Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision,6.68
122,Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment,6.66
123,FIFA 12,PS3,2011,Sports,Electronic Arts,6.65
124,Big Brain Academy,DS,2005,Misc,Nintendo,6.62
125,The Legend of Zelda,NES,1986,Action,Nintendo,6.51
126,Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,6.49
127,FIFA 14,PS3,2013,Sports,Electronic Arts,6.47
128,Assassin's Creed III,PS3,2012,Action,Ubisoft,6.45
129,Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,6.44
130,Halo: Combat Evolved,XB,2001,Shooter,Microsoft Game Studios,6.43
131,The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks,6.41
132,Pokémon Emerald Version,GBA,2004,Role-Playing,Nintendo,6.41
133,Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,6.4
134,Pokémon Crystal Version,GB,2000,Role-Playing,Nintendo,6.39
135,Halo 3: ODST,X360,2009,Shooter,Microsoft Game Studios,6.34
136,Red Dead Redemption,X360,2010,Action,Take-Two Interactive,6.32
137,Super Mario Sunshine,GC,2002,Platform,Nintendo,6.31
138,Street Fighter II: The World Warrior,SNES,1992,Fighting,Capcom,6.3
139,World of Warcraft,PC,2004,Role-Playing,Activision,6.29
140,Driver,PS,1999,Action,GT Interactive,6.27
141,Gears of War 3,X360,2011,Shooter,Microsoft Game Studios,6.21
142,Kinect Sports,X360,2010,Sports,Microsoft Game Studios,6.19
143,Gears of War,X360,2006,Shooter,Microsoft Game Studios,6.09
144,FIFA 15,PS4,2014,Sports,Electronic Arts,6.08
145,Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,Konami Digital Entertainment,6.05
146,Sonic the Hedgehog 2,GEN,1992,Platform,Sega,6.03
147,Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,6.03
148,Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Konami Digital Entertainment,5.99
149,Final Fantasy XII,PS2,2006,Role-Playing,Square Enix,5.95
150,The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe,5.87
151,LittleBigPlanet,PS3,2008,Platform,Sony Computer Entertainment,5.82
152,Resident Evil 2,PS,1998,Action,Virgin Interactive,5.82
153,Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,Nintendo,5.78
154,Tekken 2,PS,1996,Fighting,Sony Computer Entertainment,5.74
155,Destiny,PS4,2014,Shooter,Activision,5.64
156,LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts,5.64
157,Cooking Mama,DS,2006,Simulation,505 Games,5.63
158,Tetris,NES,1988,Puzzle,Nintendo,5.58
159,Super Smash Bros.,N64,1999,Fighting,Nintendo,5.55
160,Assassin's Creed II,PS3,2009,Action,Ubisoft,5.55
161,Assassin's Creed,X360,2007,Adventure,Ubisoft,5.54
162,Forza Motorsport 3,X360,2009,Racing,Microsoft Game Studios,5.49
163,Super Mario Advance,GBA,2001,Platform,Nintendo,5.49
164,Monster Hunter Freedom Unite,PSP,2008,Role-Playing,Capcom,5.48
165,Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive Entertainment,5.48
166,Grand Theft Auto V,XOne,2014,Action,Take-Two Interactive,5.48
167,Mario Kart: Super Circuit,GBA,2001,Racing,Nintendo,5.47
168,Super Mario World,GBA,2001,Platform,Nintendo,5.46
169,Pokemon Stadium,N64,1999,Strategy,Nintendo,5.45
170,Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,Universal Interactive,5.42
171,Call of Duty: World at War,PS3,2008,Shooter,Activision,5.39
172,Uncharted 4: A Thief's End,PS4,2016,Shooter,Sony Computer Entertainment,5.38
173,Dr. Mario,GB,1989,Puzzle,Nintendo,5.34
174,Final Fantasy XIII,PS3,2009,Role-Playing,Square Enix,5.33
175,Pokemon Pinball,GB,1999,Misc,Nintendo,5.31
176,Final Fantasy IX,PS,2000,Role-Playing,SquareSoft,5.3
177,Assassin's Creed III,X360,2012,Action,Ubisoft,5.29
178,Final Fantasy X-2,PS2,2003,Role-Playing,Electronic Arts,5.29
179,Donkey Kong 64,N64,1999,Platform,Nintendo,5.27
180,Call of Duty: Advanced Warfare,XOne,2014,Shooter,Activision,5.27
181,Minecraft,PS3,2014,Misc,Sony Computer Entertainment,5.26
182,Assassin's Creed II,X360,2009,Action,Ubisoft,5.26
183,Tomb Raider II,PS,1997,Action,Eidos Interactive,5.24
184,Madden NFL 2004,PS2,N/A,Sports,Electronic Arts,5.23
185,Tomodachi Life,3DS,2013,Simulation,Nintendo,5.23
186,New Super Mario Bros. U,WiiU,2012,Platform,Nintendo,5.22
187,Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Role-Playing,Square Enix,5.21
188,Super Mario Bros. 3,GBA,2003,Platform,Nintendo,5.2
189,Professor Layton and the Curious Village,DS,2007,Puzzle,Nintendo,5.19
190,Super Mario Land 3: Wario Land,GB,1994,Platform,Nintendo,5.19
191,FIFA Soccer 13,X360,2012,Action,Electronic Arts,5.16
192,Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,Platform,Nintendo,5.15
193,Diablo III,PC,2012,Role-Playing,Activision,5.14
194,Medal of Honor: Rising Sun,PS2,2003,Shooter,Electronic Arts,5.13
195,Kirby's Dream Land,GB,1992,Platform,Nintendo,5.13
196,Microsoft Flight Simulator,PC,1996,Simulation,Microsoft Game Studios,5.12
197,Guitar Hero II,PS2,2006,Misc,RedOctane,5.12
198,Fable III,X360,2010,Role-Playing,Microsoft Game Studios,5.1
199,Mario & Sonic at the Olympic Games,DS,2008,Sports,Sega,5.09
200,Resident Evil 5,PS3,2009,Action,Capcom,5.09
201,The Legend of Zelda: Phantom Hourglass,DS,2007,Action,Nintendo,5.08
202,Super Mario Bros.,GB,1999,Platform,Nintendo,5.07
203,FIFA Soccer 11,PS3,2010,Sports,Electronic Arts,5.07
204,Resident Evil,PS,1996,Action,Virgin Interactive,5.05
205,Grand Theft Auto: Vice City Stories,PSP,2006,Action,Take-Two Interactive,5.03
206,Tony Hawk's Pro Skater,PS,1999,Sports,Activision,5.02
207,Warzone 2100,PS,1999,Strategy,Eidos Interactive,5.01
208,Spyro the Dragon,PS,1998,Platform,Sony Computer Entertainment,5
209,Guitar Hero III: Legends of Rock,PS2,2007,Misc,Activision,4.98
210,Link's Crossbow Training,Wii,2007,Shooter,Nintendo,4.98
211,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,2007,Role-Playing,Nintendo,4.93
212,Fallout 3,X360,2008,Role-Playing,Bethesda Softworks,4.93
213,Uncharted: Drake's Fortune,PS3,2007,Action,Sony Computer Entertainment,4.92
214,Madden NFL 06,PS2,2005,Sports,Electronic Arts,4.91
215,Diddy Kong Racing,N64,1997,Racing,Nintendo,4.88
216,Monster Hunter Freedom 3,PSP,2010,Role-Playing,Capcom,4.87
217,Super Smash Bros. for Wii U and 3DS,WiiU,2014,Fighting,Nintendo,4.87
218,Dr. Mario,NES,1990,Puzzle,Nintendo,4.85
219,StarCraft II: Wings of Liberty,PC,2010,Strategy,Activision,4.84
220,Assassin's Creed,PS3,2007,Adventure,Ubisoft,4.82
221,God of War III,PS3,2010,Action,Sony Computer Entertainment,4.8
222,Crash Team Racing,PS,1999,Racing,Sony Computer Entertainment,4.79
223,LEGO Star Wars: The Complete Saga,DS,2007,Action,LucasArts,4.76
224,Driver 2,PS,2000,Action,Atari,4.73
225,Batman: Arkham City,X360,2011,Action,Warner Bros. Interactive Entertainment,4.73
226,The Last of Us,PS4,2014,Action,Sony Computer Entertainment,4.71
227,The Simpsons: Hit & Run,PS2,2003,Racing,Vivendi Games,4.7
228,Tony Hawk's Pro Skater 2,PS,2000,Sports,Activision,4.68
229,The Lord of the Rings: The Two Towers,PS2,2002,Action,Electronic Arts,4.67
230,Tomb Raider,PS,1996,Action,Eidos Interactive,4.63
231,Animal Crossing: City Folk,Wii,2008,Simulation,Nintendo,4.62
232,Uncharted: The Nathan Drake Collection,PS4,2015,Action,Sony Computer Entertainment,4.62
233,The Legend of Zelda: A Link to the Past,SNES,1991,Action,Nintendo,4.61
234,The Legend of Zelda: The Wind Waker,GC,2002,Action,Nintendo,4.6
235,Guitar Hero III: Legends of Rock,Wii,2007,Misc,Activision,4.6
236,Luigi's Mansion: Dark Moon,3DS,2013,Action,Nintendo,4.59
237,Forza Motorsport 4,X360,2011,Racing,Microsoft Game Studios,4.57
238,Mario & Sonic at the Olympic Winter Games,Wii,2009,Sports,Sega,4.53
239,Madden NFL 2005,PS2,2004,Sports,Electronic Arts,4.53
240,Guitar Hero III: Legends of Rock,X360,2007,Misc,Activision,4.53
241,Pitfall!,2600,1981,Platform,Activision,4.5
242,Madden NFL 07,PS2,2006,Sports,Electronic Arts,4.49
243,Halo 5: Guardians,XOne,2015,Shooter,Microsoft Game Studios,4.48
244,Spider-Man: The Movie,PS2,2002,Action,Activision,4.48
245,Dragon Quest VII: Warriors of Eden,PS,2000,Role-Playing,Enix Corporation,4.47
246,Call of Duty: Infinite Warfare,PS4,2016,Shooter,Activision,4.46
247,God of War,PS2,2005,Action,Sony Computer Entertainment,4.45
248,Splatoon,WiiU,2015,Shooter,Nintendo,4.43
249,Nintendo Land,WiiU,2012,Misc,Nintendo,4.42
