Number,Name,Platform,Year,Genre,Publisher,Global_Sales
250,Tony Hawk's Pro Skater 3,PS2,2001,Sports,Activision,4.41
251,Winning Eleven: Pro Evolution Soccer 2007,PS2,2006,Sports,Konami Digital Entertainment,4.39
252,The Elder Scrolls IV: Oblivion,X360,2006,Role-Playing,Take-Two Interactive,4.38
253,Zelda II: The Adventure of Link,NES,1987,Adventure,Nintendo,4.38
254,Need for Speed: Most Wanted,PS2,2005,Racing,Electronic Arts,4.37
255,Michael Jackson: The Experience,Wii,2010,Misc,Ubisoft,4.36
256,Call of Duty: Advanced Warfare,PS3,2014,Shooter,Activision,4.36
257,Resistance: Fall of Man,PS3,2006,Shooter,Sony Computer Entertainment,4.34
258,Sonic the Hedgehog,GEN,1991,Platform,Sega,4.34
259,Kingdom Hearts II,PS2,2005,Role-Playing,Square Enix,4.33
260,The Legend of Zelda: Ocarina of Time,3DS,2011,Action,Nintendo,4.33
261,Super Mario 3D World,WiiU,2013,Platform,Nintendo,4.32
262,Minecraft,PS4,2014,Misc,Sony Computer Entertainment Europe,4.32
263,Asteroids,2600,1980,Shooter,Atari,4.31
264,Call of Duty: Advanced Warfare,X360,2014,Shooter,Activision,4.29
265,FIFA 15,PS3,2014,Sports,Electronic Arts,4.28
266,Fable II,X360,2008,Role-Playing,Microsoft Game Studios,4.27
267,Namco Museum,GBA,2001,Misc,Namco Bandai Games,4.24
268,Batman: Arkham Asylum,PS3,2009,Action,Eidos Interactive,4.23
269,Metal Gear Solid 3: Snake Eater,PS2,2004,Action,Konami Digital Entertainment,4.23
270,Assassin's Creed: Revelations,PS3,2011,Action,Ubisoft,4.22
271,Fallout 4,XOne,2015,Role-Playing,Bethesda Softworks,4.22
272,FIFA 14,X360,2013,Sports,Electronic Arts,4.22
273,Daxter,PSP,2006,Platform,Sony Computer Entertainment,4.21
274,Warcraft II: Tides of Darkness,PC,1995,Strategy,Activision,4.21
275,FIFA Soccer 06,PS2,2005,Sports,Electronic Arts,4.21
276,EyeToy Play,PS2,2003,Misc,Sony Computer Entertainment,4.2
277,Gran Turismo 5 Prologue,PS3,2007,Racing,Sony Computer Entertainment,4.19
278,Assassin's Creed: Revelations,X360,2011,Action,Ubisoft,4.19
279,FIFA 12,X360,2011,Sports,Electronic Arts,4.18
280,Teenage Mutant Ninja Turtles,NES,1989,Action,Palcom,4.17
281,Street Fighter IV,PS3,2009,Fighting,Capcom,4.16
282,Excitebike,NES,1984,Racing,Nintendo,4.16
283,Frogger,PS,1997,Action,Hasbro Interactive,4.16
284,Madden NFL 2003,PS2,2002,Sports,Electronic Arts,4.14
285,Half-Life,PC,1997,Shooter,Vivendi Games,4.12
286,Super Mario World 2: Yoshi's Island,SNES,1995,Platform,Nintendo,4.12
287,FIFA Soccer 07,PS2,2006,Sports,Electronic Arts,4.11
288,Street Fighter II Turbo,SNES,1992,Fighting,Capcom,4.1
289,World of Warcraft: The Burning Crusade,PC,2007,Role-Playing,Activision,4.09
290,Battlefield 1,PS4,2016,Shooter,Electronic Arts,4.08
291,God of War II,PS2,2007,Action,Sony Computer Entertainment,4.07
292,World Soccer Winning Eleven 9,PS2,2005,Sports,Konami Digital Entertainment,4.06
293,Fallout: New Vegas,X360,2010,Role-Playing,Bethesda Softworks,4.05
294,Forza Motorsport 2,X360,2007,Racing,Microsoft Game Studios,4.05
295,Carnival Games,Wii,2007,Misc,Take-Two Interactive,4.05
296,Watch Dogs,PS4,2014,Action,Ubisoft,4.05
297,Namco Museum Vol.3,PS,1996,Misc,Sony Computer Entertainment,4.05
298,Tekken Tag Tournament,PS2,2000,Fighting,Namco Bandai Games,4.05
299,Far Cry 4,PS4,2014,Shooter,Ubisoft,4.04
300,Star Fox 64,N64,1997,Shooter,Nintendo,4.03
301,Golf,NES,1984,Sports,Nintendo,4.01
302,Namco Museum: 50th Anniversary,PS2,2005,Misc,Namco Bandai Games,3.98
303,Left 4 Dead 2,X360,2009,Shooter,Electronic Arts,3.97
304,The Witcher 3: Wild Hunt,PS4,2015,Role-Playing,Namco Bandai Games,3.97
305,Assassin's Creed: Unity,PS4,2014,Action,Ubisoft,3.96
306,Batman: Arkham Knight,PS4,2015,Action,Warner Bros. Interactive Entertainment,3.95
307,The Legend of Zelda: Skyward Sword,Wii,2011,Action,Nintendo,3.95
308,Fallout 3,PS3,2008,Role-Playing,Bethesda Softworks,3.94
309,Professor Layton and the Diabolical Box,DS,2007,Puzzle,Nintendo,3.94
310,Donkey Kong Land,GB,1994,Platform,Nintendo,3.91
311,EA Sports Active,Wii,2009,Sports,Electronic Arts,3.9
312,Tony Hawk's Underground,PS2,2003,Sports,Activision,3.9
313,Monster Hunter 4 Ultimate,3DS,2014,Role-Playing,Nintendo,3.89
314,The Elder Scrolls V: Skyrim,PC,2011,Role-Playing,Bethesda Softworks,3.88
315,NBA 2K16,PS4,2015,Sports,Take-Two Interactive,3.88
316,Tekken 5,PS2,2005,Fighting,Namco Bandai Games,3.87
317,Dragon Warrior III,NES,1988,Role-Playing,Enix Corporation,3.87
318,MotorStorm,PS3,2006,Racing,Sony Computer Entertainment,3.87
319,Nintendogs + cats,3DS,2011,Simulation,Nintendo,3.85
320,World Soccer Winning Eleven 8 International,PS2,2004,Sports,Konami Digital Entertainment,3.85
321,Sports Champions,PS3,2010,Sports,Sony Computer Entertainment,3.84
322,Namco Museum Vol.1,PS,1995,Misc,Sony Computer Entertainment,3.84
323,The Legend of Zelda: Link's Awakening,GB,1992,Action,Nintendo,3.83
324,Call of Duty: Ghosts,PS4,2013,Shooter,Activision,3.83
325,Flash Focus: Vision Training in Minutes a Day,DS,2007,Misc,Nintendo,3.83
326,Tom Clancy's The Division,PS4,2016,Shooter,Ubisoft,3.8
327,Big Brain Academy: Wii Degree,Wii,2007,Misc,Nintendo,3.79
328,Resident Evil Director's Cut,PS,1996,Action,Virgin Interactive,3.77
329,Mario & Luigi: Bowser's Inside Story,DS,2009,Role-Playing,Nintendo,3.77
330,LEGO Indiana Jones: The Original Adventures,X360,2008,Action,Activision,3.76
331,The Sims: Unleashed,PC,2002,Simulation,Electronic Arts,3.76
332,Ratchet & Clank: Size Matters,PSP,2007,Platform,Sony Computer Entertainment,3.74
333,Harry Potter and the Sorcerer's Stone,PS,2001,Action,Electronic Arts,3.73
334,Mario & Sonic at the London 2012 Olympic Games,Wii,2011,Sports,Sega,3.72
335,Resident Evil 3: Nemesis,PS,1999,Action,Eidos Interactive,3.72
336,Super Paper Mario,Wii,2007,Platform,Nintendo,3.71
337,Spyro: Year of the Dragon,PS,2000,Platform,Sony Computer Entertainment,3.71
338,Assassin's Creed IV: Black Flag,PS3,2013,Action,Ubisoft,3.71
339,FIFA Soccer 2005,PS2,2004,Sports,Electronic Arts,3.7
340,Pokémon Trading Card Game,GB,1998,Strategy,Nintendo,3.7
341,Friend Collection,DS,2009,Misc,Nintendo,3.67
342,Tony Hawk's Pro Skater 4,PS2,2002,Sports,Activision,3.67
343,Star Wars Battlefront (2015),XOne,2015,Shooter,Electronic Arts,3.66
344,MySims,DS,2007,Simulation,Electronic Arts,3.66
345,Midnight Club 3: DUB Edition,PSP,2005,Racing,Take-Two Interactive,3.65
346,Banjo-Kazooie,N64,1998,Platform,Nintendo,3.65
347,SOCOM: U.S. Navy SEALs,PS2,2002,Shooter,Sony Computer Entertainment,3.65
348,Jak and Daxter: The Precursor Legacy,PS2,2001,Platform,Sony Computer Entertainment,3.64
349,Pokemon Snap,N64,1999,Simulation,Nintendo,3.63
350,Pro Evolution Soccer 2008,PS2,2007,Sports,Konami Digital Entertainment,3.63
351,Resident Evil 4,PS2,2005,Action,Capcom,3.62
352,Guitar Hero: World Tour,Wii,2008,Misc,Activision,3.62
353,FIFA Soccer 10,PS3,2009,Sports,Electronic Arts,3.62
354,Star Wars: Battlefront,PS2,2004,Shooter,LucasArts,3.61
355,Doom II: Hell on Earth,PC,1994,Shooter,Virgin Interactive,3.61
356,The Simpsons: Road Rage,PS2,2001,Racing,Electronic Arts,3.61
357,Luigi's Mansion,GC,2001,Action,Nintendo,3.6
358,Battlefield 4,PS4,2013,Shooter,Electronic Arts,3.59
359,Star Wars: Battlefront II,PS2,2005,Shooter,LucasArts,3.59
360,Just Dance 2014,Wii,2013,Misc,Ubisoft,3.59
361,Cooking Mama 2: Dinner With Friends,DS,2007,Simulation,505 Games,3.58
362,WWF SmackDown!,PS,2000,Fighting,THQ,3.58
363,Croc: Legend of the Gobbos,PS,1997,Platform,Fox Interactive,3.56
364,Grand Theft Auto: Liberty City Stories,PS2,2006,Action,Take-Two Interactive,3.54
365,The Getaway,PS2,2002,Action,Sony Computer Entertainment,3.54
366,Tomb Raider III: Adventures of Lara Croft,PS,1997,Action,Eidos Interactive,3.54
367,James Bond 007: Agent Under Fire,PS2,2001,Shooter,Electronic Arts,3.53
368,LEGO Star Wars: The Video Game,PS2,2005,Action,Eidos Interactive,3.53
369,Rugrats in Paris: The Movie,PS,2000,Action,THQ,3.52
370,FIFA Soccer 11,X360,2010,Sports,Electronic Arts,3.52
371,Spyro 2: Ripto's Rage!,PS,1999,Platform,Sony Computer Entertainment,3.52
372,Left 4 Dead,X360,2008,Shooter,Electronic Arts,3.51
373,Donkey Kong Country 3: Dixie Kong's Double Trouble!,SNES,1996,Platform,Nintendo,3.51
374,Assassin's Creed: Unity,XOne,2014,Action,Ubisoft,3.5
375,Kung Fu,NES,1985,Action,Nintendo,3.5
376,Resident Evil 5,X360,2009,Action,Capcom,3.5
377,Assassin's Creed: Brotherhood,X360,2010,Action,Ubisoft,3.49
378,FIFA Soccer 2004,PS2,N/A,Sports,Electronic Arts,3.49
379,Battlefield 4,PS3,2013,Shooter,Electronic Arts,3.49
380,Batman: Arkham Asylum,X360,2009,Action,Eidos Interactive,3.48
381,Battlefield 4,X360,2013,Shooter,Electronic Arts,3.48
382,Battlefield: Bad Company 2,X360,2010,Shooter,Electronic Arts,3.47
383,Mario & Sonic at the Olympic Winter Games,DS,2009,Sports,Sega,3.46
384,Guitar Hero: On Tour,DS,2008,Misc,Activision,3.46
385,Clubhouse Games,DS,2006,Misc,Nintendo,3.45
386,Monster Hunter 4,3DS,2013,Role-Playing,Capcom,3.44
387,Borderlands,X360,2009,Shooter,Take-Two Interactive,3.44
388,Tekken 4,PS2,2002,Fighting,Namco Bandai Games,3.44
389,Final Fantasy III,SNES,1994,Role-Playing,SquareSoft,3.42
390,Grand Theft Auto 2,PS,1998,Action,Take-Two Interactive,3.42
391,Metal Gear Solid V: The Phantom Pain,PS4,2015,Action,Konami Digital Entertainment,3.41
392,Spider-Man 2,PS2,2004,Action,Activision,3.41
393,F-1 Race,GB,1990,Racing,Nintendo,3.41
394,FIFA Soccer 2003,PS2,2002,Sports,Electronic Arts,3.4
395,LittleBigPlanet 2,PS3,2011,Platform,Sony Computer Entertainment,3.39
396,Crash Bash,PS,2000,Misc,Sony Computer Entertainment,3.39
397,Assassin's Creed Syndicate,PS4,2015,Action,Ubisoft,3.39
398,LEGO Batman: The Videogame,X360,2008,Action,Warner Bros. Interactive Entertainment,3.38
399,Destiny,XOne,2014,Shooter,Activision,3.37
400,WWF War Zone,PS,1998,Fighting,Acclaim Entertainment,3.36
401,The Legend of Zelda: Majora's Mask,N64,2000,Action,Nintendo,3.36
402,Far Cry 3,PS3,2012,Shooter,Ubisoft,3.35
403,Rugrats: Search For Reptar,PS,1998,Adventure,THQ,3.34
404,English Training: Have Fun Improving Your Skills!,DS,2006,Misc,Nintendo,3.33
405,James Bond 007: Nightfire,PS2,2002,Shooter,Electronic Arts,3.33
406,Ratchet & Clank,PS2,2002,Platform,Sony Computer Entertainment,3.33
407,Monster Hunter X,3DS,2015,Action,Capcom,3.32
408,Star Wars Episode III: Revenge of the Sith,PS2,2005,Action,LucasArts,3.32
409,The Legend of Zelda: Spirit Tracks,DS,2009,Action,Nintendo,3.31
410,Max Payne,PS2,2001,Shooter,Take-Two Interactive,3.31
411,Assassin's Creed IV: Black Flag,X360,2013,Action,Ubisoft,3.3
412,The Lord of the Rings: The Return of the King,PS2,2003,Action,Electronic Arts,3.28
413,Yokai Watch 2 Ganso/Honke,3DS,2014,Role-Playing,Nintendo,3.28
414,Gears of War: Ultimate Edition,XOne,2015,Shooter,Microsoft Game Studios,3.28
415,True Crime: Streets of LA,PS2,2003,Action,Activision,3.27
416,Professor Layton and the Unwound Future,DS,2008,Puzzle,Nintendo,3.26
417,Gran Turismo (PSP),PSP,2009,Racing,Sony Computer Entertainment,3.25
418,FIFA 16,XOne,2015,Sports,Electronic Arts,3.25
419,Wii Music,Wii,2008,Misc,Nintendo,3.25
420,Tekken,PS,1995,Fighting,Sony Computer Entertainment,3.24
421,Madden NFL 16,PS4,2015,Sports,Electronic Arts,3.24
422,Gran Turismo 6,PS3,2013,Racing,Sony Computer Entertainment,3.23
423,Halo: The Master Chief Collection,XOne,2014,Shooter,Microsoft Game Studios,3.23
424,007: Tomorrow Never Dies,PS,1999,Shooter,Electronic Arts,3.21
425,Super Mario Maker,WiiU,2015,Platform,Nintendo,3.21
426,WWF SmackDown! 2: Know Your Role,PS,2000,Fighting,THQ,3.2
427,Baseball,NES,1983,Sports,Nintendo,3.2
428,Killer Instinct,SNES,1995,Fighting,Nintendo,3.2
429,Dragon Quest VI: Maboroshi no Daichi,SNES,1995,Role-Playing,Enix Corporation,3.19
430,God of War: Chains of Olympus,PSP,2008,Action,Sony Computer Entertainment,3.18
431,Enter the Matrix,PS2,2003,Action,Atari,3.18
432,Crisis Core: Final Fantasy VII,PSP,2007,Role-Playing,Square Enix,3.18
433,Dance Central,X360,2010,Misc,MTV Games,3.17
434,L.A. Noire,PS3,2011,Adventure,Take-Two Interactive,3.17
435,Ace Combat 04: Shattered Skies,PS2,2001,Simulation,Sony Computer Entertainment Europe,3.17
436,Animal Crossing,GC,2001,Simulation,Nintendo,3.15
437,FIFA Soccer 08,PS2,2007,Sports,Electronic Arts,3.14
438,Club Penguin: Elite Penguin Force,DS,2008,Adventure,Disney Interactive Studios,3.14
439,Spider-Man,PS,2000,Action,Activision,3.13
440,Mario Party 9,Wii,2012,Misc,Nintendo,3.13
441,Need for Speed III: Hot Pursuit,PS,1998,Racing,Electronic Arts,3.12
442,Star Wars Episode I Racer,N64,1999,Racing,Nintendo,3.12
443,Sonic Rush,DS,2005,Platform,Sega,3.12
444,Dragon Warrior IV,NES,1990,Role-Playing,Enix Corporation,3.12
445,Rhythm Heaven,DS,2008,Misc,Nintendo,3.11
446,Fallout: New Vegas,PS3,2010,Role-Playing,Bethesda Softworks,3.11
447,Personal Trainer: Cooking,DS,2006,Misc,Nintendo,3.11
448,The Elder Scrolls IV: Oblivion,PS3,2007,Role-Playing,Ubisoft,3.1
449,The Legend of Zelda: A Link Between Worlds,3DS,2013,Action,Nintendo,3.1
450,Resident Evil 6,PS3,2012,Shooter,Capcom,3.1
451,Mass Effect 2,X360,2010,Role-Playing,Electronic Arts,3.1
452,Dragon Ball Z: Budokai,PS2,2002,Fighting,Atari,3.09
453,Madden NFL 2002,PS2,2001,Sports,Electronic Arts,3.08
454,World Class Track Meet,NES,1986,Sports,Namco Bandai Games,3.08
455,Donkey Kong,GB,1994,Platform,Nintendo,3.07
456,The Sims: Vacation,PC,2002,Simulation,Electronic Arts,3.07
457,LEGO Batman: The Videogame,Wii,N/A,Action,Warner Bros. Interactive Entertainment,3.06
458,Animal Crossing: Happy Home Designer,3DS,2015,Simulation,Nintendo,3.05
459,The Sims 4,PC,2014,Simulation,Electronic Arts,3.05
460,Borderlands 2,X360,2012,Shooter,Take-Two Interactive,3.05
461,LEGO Batman: The Videogame,DS,2008,Action,Warner Bros. Interactive Entertainment,3.05
462,Kung Fu Panda,X360,2008,Action,Activision,3.04
463,Mass Effect 3,X360,2012,Role-Playing,Electronic Arts,3.04
464,Heavy Rain,PS3,2010,Adventure,Sony Computer Entertainment,3.03
465,Rayman,PS,1995,Platform,Ubisoft,3.03
466,Saints Row 2,X360,2008,Action,THQ,3.03
467,Tom Clancy's Splinter Cell,XB,2002,Action,Ubisoft,3.02
468,Mike Tyson's Punch-Out!!,NES,1987,Fighting,Nintendo,3.02
469,WWE SmackDown! Shut Your Mouth,PS2,2002,Sports,THQ,3.02
470,FIFA 14,PS4,2013,Sports,Electronic Arts,3.01
471,Killzone 2,PS3,2009,Shooter,Sony Computer Entertainment,3.01
472,Far Cry 3,X360,2012,Shooter,Ubisoft,3
473,Epic Mickey,Wii,2010,Platform,Disney Interactive Studios,3
474,NBA 2K13,X360,2012,Sports,Take-Two Interactive,3
475,Dragon Ball Z: Budokai Tenkaichi 3,PS2,2007,Fighting,Atari,3
476,wwe Smackdown vs. Raw 2006,PS2,N/A,Fighting,N/A,3
477,Star Fox,SNES,1993,Shooter,Nintendo,2.99
478,The Sims: Livin Large,PC,2000,Misc,Electronic Arts,2.99
479,World Soccer Winning Eleven 6 International,PS2,2002,Sports,Konami Digital Entertainment,2.99
480,Devil May Cry,PS2,2001,Action,Capcom,2.99
481,Star Wars: The Old Republic,PC,2011,Role-Playing,Electronic Arts,2.96
482,Middle-Earth: Shadow of Mordor,PS4,2014,Action,Warner Bros. Interactive Entertainment,2.96
483,Sonic Heroes,PS2,2003,Platform,Sega,2.96
484,Hitman 2: Silent Assassin,PS2,2002,Action,Eidos Interactive,2.96
485,Titanfall,XOne,2014,Shooter,Electronic Arts,2.95
486,Battlefield: Bad Company 2,PS3,2010,Shooter,Electronic Arts,2.95
487,Wave Race 64,N64,1996,Racing,Nintendo,2.94
488,SOCOM II: U.S. Navy SEALs,PS2,2003,Shooter,Sony Computer Entertainment,2.94
489,WWE SmackDown! vs. RAW 2006,PS2,2005,Fighting,THQ,2.94
490,Pac-Man Collection,GBA,2001,Puzzle,Atari,2.94
491,Street Fighter IV,X360,2009,Fighting,Capcom,2.94
492,inFAMOUS,PS3,2009,Action,Sony Computer Entertainment,2.93
493,Kirby Super Star Ultra,DS,2008,Platform,Nintendo,2.92
494,Call of Duty: Ghosts,XOne,2013,Shooter,Activision,2.92
